key,view,sample,score,hash,file,seed,sunElev,sunAz,massif,coverage,tone,quality,resolutionScale,temporalUpscale,jitter,shadowStep,drawingBuffer,glRenderer,camera
"D3","saved","1","0.497144","306ff2584de12900861b46d0b7f1a8fe1fde13b1965437e9973441072c87b375","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D3_s01.png","21155","1","18","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[360.42,79.03,-803.39]"
"D3","saved","2","0.535349","fdff807b77fc2767b849b72ce557900cfee91f1151a8ac4c661bd0912e7c36d5","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D3_s02.png","21155","1","18","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[360.42,79.03,-803.39]"
"D3","saved","3","0.545485","77845f674b9e0f57dce046f6cba289a04c0ea5f1bba95fc1196c3cee3a4c7a77","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D3_s03.png","21155","1","18","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[360.42,79.03,-803.39]"
"D3","wide","1","0.386413","0b02f8e64aa7795d13a6fe21af023f2a3b253e386ed2ab4b25ca99e7619e1038","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D3_wide.png","21155","1","18","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[167.28,-22.09,-1676.36]"
"D4","saved","1","0.040758","c064c23bd48cdd00f930576fd80bbd4a4777230d1c84db688d31a8d30d7d3870","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D4_s01.png","40625","10","-145.46248867256884","219.3175720007327","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-367.1,98.09,-368.9]"
"D4","saved","2","0.039241","e7d13fc6870fde1c3351e4f3509b70a0f84fdf698c96fe100e6489ea8d89d7e6","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D4_s02.png","40625","10","-145.46248867256884","219.3175720007327","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-367.1,98.09,-368.9]"
"D4","saved","3","0.038717","6f3f2b71f4462660b3d63cfa1ae8eef566d43bfff3d858d7108e8d90f73ebed4","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D4_s03.png","40625","10","-145.46248867256884","219.3175720007327","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-367.1,98.09,-368.9]"
"D4","wide","1","0.046159","42bee5e91d64496e74789abe75d923c6f62c0ff0fe938beb48841f952831afd8","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D4_wide.png","40625","10","-145.46248867256884","219.3175720007327","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1187.93,290.18,-846.34]"
"D5","saved","1","0.056539","1111b4cb3319429974ecacc1829833be1d045b2bf694c4087164c3783866ee0a","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D5_s01.png","14074","31","-159.589483794465","97.66824773411881","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[577.57,218.35,1159.96]"
"D5","saved","2","0.056208","a64ab88b8e49f20381e2a2c5f36ffb2c7a5cc4394b84f0f85da8655cec10b102","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D5_s02.png","14074","31","-159.589483794465","97.66824773411881","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[577.57,218.35,1159.96]"
